Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Name,LogPrice,LogReturn,EndOfMonth,EndOfWeek
2014-09-18,456.8599853515625,456.8599853515625,413.10400390625,424.44000244140625,424.44000244140625,34483200,BTC-USD,Bitcoin,6.050770658757454,-7.46433511490503,2014-09-30,2014-09-24
2014-09-19,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,394.7959899902344,37919700,BTC-USD,Bitcoin,5.978369150441467,-7.24015083159868,2014-09-30,2014-09-24
2014-09-20,394.6730041503906,423.2959899902344,389.88299560546875,408.90399169921875,408.90399169921875,36863600,BTC-USD,Bitcoin,6.013480389365547,3.511123892408019,2014-09-30,2014-09-24
2014-09-21,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,398.8210144042969,26580100,BTC-USD,Bitcoin,5.9885127307924195,-2.496765857312777,2014-09-30,2014-09-24
2014-09-22,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,402.1520080566406,24127600,BTC-USD,Bitcoin,5.996830146640211,0.8317415847791665,2014-09-30,2014-09-24
2014-09-23,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,435.7909851074219,45099500,BTC-USD,Bitcoin,6.0771627364485195,8.033258980830826,2014-09-30,2014-09-24
2014-09-24,435.7510070800781,436.11199951171875,421.1319885253906,423.2049865722656,423.2049865722656,30627700,BTC-USD,Bitcoin,6.047856663490421,-2.9306072958098284,2014-09-30,2014-09-24
2014-09-25,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,411.5740051269531,26814400,BTC-USD,Bitcoin,6.019988846297253,-2.7867817193167888,2014-09-30,2014-10-01
2014-09-26,411.4289855957031,414.93798828125,400.0090026855469,404.42498779296875,404.42498779296875,21460800,BTC-USD,Bitcoin,6.002466275032086,-1.7522571265167208,2014-09-30,2014-10-01
2014-09-27,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,399.5199890136719,15029300,BTC-USD,Bitcoin,5.990263799032644,-1.2202475999441909,2014-09-30,2014-10-01
2014-09-28,399.47100830078125,401.0169982910156,374.3320007324219,377.1809997558594,377.1809997558594,23613300,BTC-USD,Bitcoin,5.9327251776874705,-5.753862134517362,2014-09-30,2014-10-01
2014-09-29,376.9280090332031,385.21099853515625,372.239990234375,375.4670104980469,375.4670104980469,32497700,BTC-USD,Bitcoin,5.928170612479337,-0.45545652081333543,2014-09-30,2014-10-01
2014-09-30,376.0880126953125,390.97698974609375,373.4429931640625,386.9440002441406,386.9440002441406,34707300,BTC-USD,Bitcoin,5.958279980347884,3.0109367868546677,2014-09-30,2014-10-01
2014-10-01,387.427001953125,391.3789978027344,380.7799987792969,383.614990234375,383.614990234375,26229400,BTC-USD,Bitcoin,5.949639420020467,-0.8640560327417113,2014-10-31,2014-10-01
2014-10-02,383.9880065917969,385.49700927734375,372.9460144042969,375.0719909667969,375.0719909667969,21777700,BTC-USD,Bitcoin,5.927117983456852,-2.2521436563614827,2014-10-31,2014-10-08
2014-10-03,375.1809997558594,377.69500732421875,357.8590087890625,359.5119934082031,359.5119934082031,30901200,BTC-USD,Bitcoin,5.88474753796263,-4.2370445494221975,2014-10-31,2014-10-08
2014-10-04,359.8919982910156,364.48699951171875,325.885986328125,328.8659973144531,328.8659973144531,47236500,BTC-USD,Bitcoin,5.7956503647993936,-8.90971731632364,2014-10-31,2014-10-08
2014-10-05,328.9159851074219,341.8009948730469,289.2959899902344,320.510009765625,320.510009765625,83308096,BTC-USD,Bitcoin,5.769913507591044,-2.573685720834984,2014-10-31,2014-10-08
2014-10-06,320.3890075683594,345.1340026855469,302.55999755859375,330.0790100097656,330.0790100097656,79011800,BTC-USD,Bitcoin,5.799332050075126,2.9418542484082266,2014-10-31,2014-10-08
2014-10-07,330.5840148925781,339.24700927734375,320.48199462890625,336.18701171875,336.18701171875,49199900,BTC-USD,Bitcoin,5.8176675876248956,1.8335537549769576,2014-10-31,2014-10-08
2014-10-08,336.1159973144531,354.364013671875,327.18798828125,352.94000244140625,352.94000244140625,54736300,BTC-USD,Bitcoin,5.866298077732428,4.863049010753251,2014-10-31,2014-10-08
2014-10-09,352.74798583984375,382.72601318359375,347.68701171875,365.0260009765625,365.0260009765625,83641104,BTC-USD,Bitcoin,5.899968586597586,3.3670508865157878,2014-10-31,2014-10-15
2014-10-10,364.68701171875,375.0669860839844,352.9630126953125,361.56201171875,361.56201171875,43665700,BTC-USD,Bitcoin,5.8904335669117165,-0.953501968586945,2014-10-31,2014-10-15
2014-10-11,361.36199951171875,367.1910095214844,355.95098876953125,362.29901123046875,362.29901123046875,13345200,BTC-USD,Bitcoin,5.892469868751485,0.20363018397686616,2014-10-31,2014-10-15
2014-10-12,362.6059875488281,379.4330139160156,356.1440124511719,378.54901123046875,378.54901123046875,17552800,BTC-USD,Bitcoin,5.936345552554011,4.38756838025256,2014-10-31,2014-10-15
2014-10-13,377.9209899902344,397.22601318359375,368.8970031738281,390.41400146484375,390.41400146484375,35221400,BTC-USD,Bitcoin,5.967207718303724,3.0862165749713455,2014-10-31,2014-10-15
2014-10-14,391.6919860839844,411.697998046875,391.3240051269531,400.8699951171875,400.8699951171875,38491500,BTC-USD,Bitcoin,5.993637173039062,2.6429454735337643,2014-10-31,2014-10-15
2014-10-15,400.9549865722656,402.22698974609375,388.7659912109375,394.77301025390625,394.77301025390625,25267100,BTC-USD,Bitcoin,5.978310942137121,-1.5326230901941074,2014-10-31,2014-10-15
2014-10-16,394.51800537109375,398.8070068359375,373.07000732421875,382.5559997558594,382.5559997558594,26990000,BTC-USD,Bitcoin,5.946875047140966,-3.1435894996154623,2014-10-31,2014-10-22
2014-10-17,382.7560119628906,385.4779968261719,375.3890075683594,383.75799560546875,383.75799560546875,13600700,BTC-USD,Bitcoin,5.950012134138342,0.3137086997376137,2014-10-31,2014-10-22
2014-10-18,383.97601318359375,395.1579895019531,378.97100830078125,391.4419860839844,391.4419860839844,11416800,BTC-USD,Bitcoin,5.969837320757043,1.9825186618700918,2014-10-31,2014-10-22
2014-10-19,391.2539978027344,393.9389953613281,386.4570007324219,389.5459899902344,389.5459899902344,5914570,BTC-USD,Bitcoin,5.9649819327699225,-0.48553879871207073,2014-10-31,2014-10-22
